id;franquicia;nivel_minimo;aplica_niveles_superiores;categoria;titulo_beneficio;descripcion;valor_numerico;tipo_valor;etiqueta_valor;condiciones;aplica_colombia;url_fuente;fecha_verificacion;estado
;Mastercard;platinum;Sí;viajes;LoungeKey / Acceso a salas VIP;Acceso a salas VIP en aeropuertos vía LoungeKey;;lounge_access;Varía por banco;Según condiciones del banco emisor;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;platinum;Sí;seguros;Seguro de compra;Protección contra daño o robo de artículos comprados con la tarjeta;;fixed_benefit;Incluido;Compras elegibles (90 días);Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;black;No;viajes;World Elite Travel Service;Servicio premium de viajes con beneficios en hoteles de lujo y asistencia dedicada;;fixed_benefit;Incluido;Titulares World Elite;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;black;No;viajes;Acceso salas VIP ilimitado;Acceso ilimitado a salas VIP LoungeKey en aeropuertos;;lounge_access;Acceso ilimitado;Titular y acompañante;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;black;No;viajes;Mastercard World Elite Concierge;Conserjería personal 24/7 para reservas de alto nivel;;fixed_benefit;Incluido;Siempre disponible;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;black;No;seguros;Seguro de viaje World Elite;Cobertura premium de salud y accidentes en el exterior;;fixed_benefit;Incluido;Viajes internacionales;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Amex;classic;Sí;seguros;Amex Global Assist;Asistencia 24/7 para emergencias médicas y de viaje;;fixed_benefit;Incluido;Viajes a +100 km del hogar;Sí;https://www.americanexpress.com/es-co/network/;Por verificar
;Amex;classic;Sí;seguros;Protección de compra;Cobertura contra daño o robo de artículos comprados;90;fixed_benefit;90 días;Compras con la tarjeta;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;gold;Sí (platinum);restaurantes;Amex For Foodies;Acceso a experiencias gastronómicas exclusivas y reservas en restaurantes premium;;fixed_benefit;Incluido;Restaurantes aliados Amex;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;gold;Sí;viajes;Amex Travel;Beneficios y tarifas preferentes en hoteles y aerolíneas a través de Amex Travel;;fixed_benefit;Incluido;Reservas vía Amex Travel;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;platinum;No;viajes;Priority Pass Platinum;Acceso a +1.200 salas VIP Priority Pass a nivel mundial;;lounge_access;Acceso ilimitado;Titular y acompañante;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;platinum;No;viajes;Fine Hotels & Resorts;Beneficios exclusivos en +1.200 hoteles de lujo (upgrade, desayuno, checkout tardío, crédito);;fixed_benefit;Incluido;Reservas directas en FHR;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;platinum;No;seguros;Seguro de viaje premium;Cobertura médica y de accidente hasta USD 1.000.000;;fixed_benefit;Incluido;Pasajes comprados con la tarjeta;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;platinum;No;viajes;Amex Platinum Concierge;Conserjería personal 24/7 para cualquier solicitud;;fixed_benefit;Incluido;24/7;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Amex;platinum;No;entretenimiento;Amex Experiences;Acceso anticipado y preventa a conciertos, eventos deportivos y culturales;;fixed_benefit;Incluido;Eventos seleccionados;Sí;https://www.americanexpress.com/es-co/network/;;Por verificar
;Diners;premium;No;viajes;Acceso Diners Club Lounges;Acceso a salas VIP exclusivas de Diners Club en aeropuertos seleccionados;;lounge_access;Acceso ilimitado;Titular;Sí;https://www.dinersclub.com/en-us/cardmember-benefits;;Por verificar
;Diners;premium;No;viajes;Diners Club Concierge;Servicio de conserjería personal 24/7;;fixed_benefit;Incluido;Siempre disponible;Sí;https://www.dinersclub.com/en-us/cardmember-benefits;;Por verificar
;Diners;premium;No;restaurantes;Diners Club Dining;Acceso y beneficios en restaurantes exclusivos de la red Diners Club mundial;;fixed_benefit;Incluido;Red de restaurantes Diners;Sí;https://www.dinersclub.com/en-us/cardmember-benefits;;Por verificar
;Diners;premium;No;seguros;Seguro de viaje Diners;Cobertura de salud y accidentes para viajes internacionales;;fixed_benefit;Incluido;Viajes internacionales;Sí;https://www.dinersclub.com/en-us/cardmember-benefits;;Por verificar
